,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
0,52,Kuldeep Rai Sharma,0,ANDAMAN AND NICOBAR ISLANDS,Graduate Professional,INC,ANDAMAN,Yes,2019,80450870,132233012,ANDAMAN:ANDAMAN AND NICOBAR ISLANDS
15,46,Sridhar Kotagiri	,0,ELURU,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,33560974,462808829,ANDHRA PRADESH:ELURU
24,26,Goddeti Madhavi,0,ARAKU,Graduate Professional,YSRCP,ANDHRA PRADESH,Yes,2019,0,141179,ANDHRA PRADESH:ARAKU
29,46,Chinta Anuradha,0,AMALAPURAM,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,2431407,85993362,ANDHRA PRADESH:AMALAPURAM
33,68,N. Reddeppa,0,CHITTOOR,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,1341542,17355862,ANDHRA PRADESH:CHITTOOR
40,48,Talari Rangaiah,2,ANANTAPUR,Doctorate,YSRCP,ANDHRA PRADESH,Yes,2019,1135547,11773091,ANDHRA PRADESH:ANANTAPUR
66,52,Dr.Beesetti Venkata Satyavathi,0,ANAKAPALLE,Graduate Professional,YSRCP,ANDHRA PRADESH,Yes,2019,11139279,91526244,ANDHRA PRADESH:ANAKAPALLE
76,50,Balashowry Vallabhaneni,2,MACHILIPATNAM,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,746310844,990575840,ANDHRA PRADESH:MACHILIPATNAM
84,55,Vanga Geetha Viswanatham,0,KAKINADA,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,34416887,202528594,ANDHRA PRADESH:KAKINADA
87,34,Yeduguri Sandinti Avinash Reddy,4,KADAPA,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,22833319,186969794,ANDHRA PRADESH:KADAPA
88,52,Dr Sanjeev Kumar,0,KURNOOL,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,62070621,325914387,ANDHRA PRADESH:KURNOOL
133,43,Suresh Babu Nandigam,0,BAPATLA,8th Pass,YSRCP,ANDHRA PRADESH,Yes,2019,269000,4158610,ANDHRA PRADESH:BAPATLA
146,50,Kuruva Gorantla Madhav,2,HINDUPUR,Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,730332,1787356,ANDHRA PRADESH:HINDUPUR
152,42,Dibyendu Adhikari,1,TAMLUK,Graduate,AITC,WEST BENGAL,Yes,2019,8397501,37687867,WEST BENGAL:TAMLUK
155,53,Jayadev Galla,0,GUNTUR,Graduate,TDP,ANDHRA PRADESH,Yes,2019,203452417,3051485242,ANDHRA PRADESH:GUNTUR
158,57,Sajda Ahmed,0,ULUBERIA,Graduate,AITC,WEST BENGAL,Yes,2019,5322615,28351569,WEST BENGAL:ULUBERIA
195,62,Kalyan Banerjee,0,SREERAMPUR,Graduate Professional,AITC,WEST BENGAL,Yes,2019,5522403,175968902,WEST BENGAL:SREERAMPUR
206,56,Jagannath Sarkar,1,RANAGHAT,Graduate Professional,BJP,WEST BENGAL,Yes,2019,0,17622476,WEST BENGAL:RANAGHAT
213,48,Debasree Chaudhuri,2,RAIGANJ,Post Graduate,BJP,WEST BENGAL,Yes,2019,823416,6139123,WEST BENGAL:RAIGANJ
216,34,Jyotirmay Singh Mahato,2,PURULIA,Graduate Professional,BJP,WEST BENGAL,Yes,2019,456100,2250540,WEST BENGAL:PURULIA
218,42,P.V.Midhun Reddy,3,RAJAMPET,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,205473477,665085701,ANDHRA PRADESH:RAJAMPET
222,57,Abu Taher Khan,3,MURSHIDABAD,8th Pass,AITC,WEST BENGAL,Yes,2019,1350000,8926616,WEST BENGAL:MURSHIDABAD
262,37,Gautam Gambhir,1,EAST DELHI,12th Pass,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,342035860,1471587789,NATIONAL CAPITAL TERRITORY OF DELHI:EAST DELHI
270,60,Pocha Brahmananda Reddy,1,NANDYAL,Post Graduate,YSRCP,ANDHRA PRADESH,Yes,2019,177035582,585932911,ANDHRA PRADESH:NANDYAL
273,54,Dilip Kumar Ghosh,14,MEDINIPUR,10th Pass,BJP,WEST BENGAL,Yes,2019,0,4536462,WEST BENGAL:MEDINIPUR
317,72,Abu Hasem Khan Chowdhury,0,MALDAHA DAKSHIN,Doctorate,INC,WEST BENGAL,Yes,2019,728107,270959520,WEST BENGAL:MALDAHA DAKSHIN
326,70,Bandyopadhyay Sudip,2,KOLKATA UTTAR,Graduate Professional,AITC,WEST BENGAL,Yes,2019,0,61176355,WEST BENGAL:KOLKATA UTTAR
348,59,Khagen Murmu,4,MALDAHA UTTAR,Graduate,BJP,WEST BENGAL,Yes,2019,1070914,10232439,WEST BENGAL:MALDAHA UTTAR
355,80,Choudhury Mohan Jatua,0,MATHURAPUR,Post Graduate,AITC,WEST BENGAL,Yes,2019,0,10667304,WEST BENGAL:MATHURAPUR
358,56,Kunar Hembram,0,JHARGRAM,Graduate Professional,BJP,WEST BENGAL,Yes,2019,565000,10387498,WEST BENGAL:JHARGRAM
365,61,Mala Roy,3,KOLKATA DAKSHIN,Graduate,AITC,WEST BENGAL,Yes,2019,0,10308401,WEST BENGAL:KOLKATA DAKSHIN
368,58,Khalilur Rahaman,0,JANGIPUR,Graduate,AITC,WEST BENGAL,Yes,2019,2248968,368306705,WEST BENGAL:JANGIPUR
406,77,Sisir Kumar Adhikari,3,KANTHI,12th Pass,AITC,WEST BENGAL,Yes,2019,0,33979650,WEST BENGAL:KANTHI
413,53,Pratima Mondal,0,JAYNAGAR,Post Graduate,AITC,WEST BENGAL,Yes,2019,0,27471675,WEST BENGAL:JAYNAGAR
421,45,Locket Chatterjee,14,HOOGHLY,Graduate,BJP,WEST BENGAL,Yes,2019,0,35655698,WEST BENGAL:HOOGHLY
430,51,Jayanta Kumar Roy,0,JALPAIGURI,Graduate Professional,BJP,WEST BENGAL,Yes,2019,1352581,11625047,WEST BENGAL:JALPAIGURI
434,64,Prasun Banerjee,1,HOWRAH,Graduate,AITC,WEST BENGAL,Yes,2019,0,13216066,WEST BENGAL:HOWRAH
437,44,Mahua Moitra,0,KRISHNANAGAR,Graduate,AITC,WEST BENGAL,Yes,2019,671138,26495250,WEST BENGAL:KRISHNANAGAR
472,30,Mimi Chakraborty,0,JADAVPUR,Graduate,AITC,WEST BENGAL,Yes,2019,1900788,24398786,WEST BENGAL:JADAVPUR
480,71,Sougata Ray,1,DUM DUM,Post Graduate,AITC,WEST BENGAL,Yes,2019,0,42518790,WEST BENGAL:DUM DUM
488,31,Abhishek Banerjee,0,DIAMOND HARBOUR,Graduate,AITC,WEST BENGAL,Yes,2019,0,13794320,WEST BENGAL:DIAMOND HARBOUR
507,33,Sri Nisith Pramanik,11,COOCH BEHAR,8th Pass,BJP,WEST BENGAL,Yes,2019,0,9629810,WEST BENGAL:COOCH BEHAR
516,33,Raju Bista,0,DARJEELING,Graduate,BJP,WEST BENGAL,Yes,2019,27428941,151106062,WEST BENGAL:DARJEELING
519,63,Asit Kumar Mal,0,BOLPUR,10th Pass,AITC,WEST BENGAL,Yes,2019,0,1310691,WEST BENGAL:BOLPUR
541,36,Deepak Adhikari,0,GHATAL,Others,AITC,WEST BENGAL,Yes,2019,7879681,317320579,WEST BENGAL:GHATAL
548,49,Satabdi Roy (Banerjee),0,BIRBHUM,Graduate,AITC,WEST BENGAL,Yes,2019,18604443,48652722,WEST BENGAL:BIRBHUM
556,28,Nusrat Jahan Ruhi,0,BASIRHAT,12th Pass,AITC,WEST BENGAL,Yes,2019,16881608,29088391,WEST BENGAL:BASIRHAT
561,57,Arjun Singh,24,BARRACKPUR,10th Pass,BJP,WEST BENGAL,Yes,2019,1100000,8055691,WEST BENGAL:BARRACKPUR
585,38,Saumitra Khan,6,BISHNUPUR,12th Pass,BJP,WEST BENGAL,Yes,2019,1077120,8656777,WEST BENGAL:BISHNUPUR
594,61,Sunil Kumar Mondal,0,BARDHAMAN PURBA,Graduate Professional,AITC,WEST BENGAL,Yes,2019,148598,20371283,WEST BENGAL:BARDHAMAN PURBA
597,67,Surendrajeet Singh Ahluwalia,0,BARDHAMAN DURGAPUR,Graduate Professional,BJP,WEST BENGAL,Yes,2019,744076,26521750,WEST BENGAL:BARDHAMAN DURGAPUR
599,60,Dr. Kakoli Ghoshdastidar,2,BARASAT,Post Graduate,AITC,WEST BENGAL,Yes,2019,1496059,40531018,WEST BENGAL:BARASAT
619,37,Shantanu Thakur,8,BANGAON,Graduate,BJP,WEST BENGAL,Yes,2019,0,5265388,WEST BENGAL:BANGAON
626,40,Sukanta Majumdar,0,BALURGHAT,Doctorate,BJP,WEST BENGAL,Yes,2019,2168170,5825866,WEST BENGAL:BALURGHAT
629,63,Adhir Ranjan Chowdhury,7,BAHARAMPUR,10th Pass,INC,WEST BENGAL,Yes,2019,8506984,101315437,WEST BENGAL:BAHARAMPUR
653,33,Aparupa Poddar (Afrin Ali),1,ARAMBAG,Post Graduate,AITC,WEST BENGAL,Yes,2019,4244000,12527597,WEST BENGAL:ARAMBAG
662,43,John Barla,9,ALIPURDUARS,8th Pass,BJP,WEST BENGAL,Yes,2019,0,1418730,WEST BENGAL:ALIPURDUARS
665,68,Mala Rajya Laxmi Shah,0,TEHRI GARHWAL,12th Pass,BJP,UTTARAKHAND,Yes,2019,1350000000,1846640100,UTTARAKHAND:TEHRI GARHWAL
684,48,Babul Supriya Baral,4,ASANSOL,Graduate,BJP,WEST BENGAL,Yes,2019,5722184,59234826,WEST BENGAL:ASANSOL
693,57,Ajay Bhatt,0,NAINITAL-UDHAMSINGH NAGAR,Graduate Professional,BJP,UTTARAKHAND,Yes,2019,0,19699529,UTTARAKHAND:NAINITAL-UDHAMSINGH NAGAR
696,65,Subhas Kumar Sarkar,1,BANKURA,Graduate Professional,BJP,WEST BENGAL,Yes,2019,3261495,19799440,WEST BENGAL:BANKURA
700,59,Ramesh Pokhriyal Nishank,0,HARIDWAR,Doctorate,BJP,UTTARAKHAND,Yes,2019,16444,28739888,UTTARAKHAND:HARIDWAR
703,55,Tirath Singh Rawat,0,GARHWAL,Post Graduate,BJP,UTTARAKHAND,Yes,2019,3500000,15032657,UTTARAKHAND:GARHWAL
712,46,Ajay Tamta,0,ALMORA,12th Pass,BJP,UTTARAKHAND,Yes,2019,55845,9910448,UTTARAKHAND:ALMORA
745,68,Narendra Modi,0,VARANASI,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,0,25136119,UTTAR PRADESH:VARANASI
754,63,Swami Sachchidanand Hari Sakshi,4,UNNAO,Doctorate,BJP,UTTAR PRADESH,Yes,2019,699025,40886941,UTTAR PRADESH:UNNAO
780,86,Dr. Shafiqur Rehman Barq,0,SAMBHAL,Graduate,SP,UTTAR PRADESH,Yes,2019,0,13296671,UTTAR PRADESH:SAMBHAL
786,58,Rajesh Verma,1,SITAPUR,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,108148,73129716,UTTAR PRADESH:SITAPUR
804,62,Maneka Sanjay Gandhi,0,SULTANPUR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,11935800,556926451,UTTAR PRADESH:SULTANPUR
811,42,Arun Kumar Sagar,1,SHAHJAHANPUR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,1179697,43448049,UTTAR PRADESH:SHAHJAHANPUR
816,55,Ravinder,0,SALEMPUR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,249400,27031724,UTTAR PRADESH:SALEMPUR
825,62,Haji Fazlur Rehman,0,SAHARANPUR,Graduate,BSP,UTTAR PRADESH,Yes,2019,60000,46146135,UTTAR PRADESH:SAHARANPUR
857,66,Pakauri Lal,0,ROBERTSGANJ,Literate,Apna Dal (Soneylal),UTTAR PRADESH,Yes,2019,684133,23048078,UTTAR PRADESH:ROBERTSGANJ
869,64,Mohammad Azam Khan,10,RAMPUR,Graduate Professional,SP,UTTAR PRADESH,Yes,2019,0,46124814,UTTAR PRADESH:RAMPUR
880,49,Ram Shiromani,0,SHRAWASTI,Graduate Professional,BSP,UTTAR PRADESH,Yes,2019,350000,19108216,UTTAR PRADESH:SHRAWASTI
890,39,Feroze Varun Gandhi,0,PILIBHIT,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,28952800,603200539,UTTAR PRADESH:PILIBHIT
893,48,Sangam Lal Gupta,2,PRATAPGARH,8th Pass,BJP,UTTAR PRADESH,Yes,2019,8895225,248789514,UTTAR PRADESH:PRATAPGARH
895,62,Keshari Devi Patel,2,PHULPUR,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,6505194,172707104,UTTAR PRADESH:PHULPUR
899,55,Girish Chandra,1,NAGINA,12th Pass,BSP,UTTAR PRADESH,Yes,2019,9062600,28659644,UTTAR PRADESH:NAGINA
931,72,Sonia Gandhi,1,RAE BARELI,Others,INC,UTTAR PRADESH,Yes,2019,0,118263916,UTTAR PRADESH:RAE BARELI
945,46,Sanjeev Kumar Balyan,1,MUZAFFARNAGAR,Doctorate,BJP,UTTAR PRADESH,Yes,2019,2373645,15781189,UTTAR PRADESH:MUZAFFARNAGAR
956,68,Rajendra Agarwal,3,MEERUT,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,1990094,13489377,UTTAR PRADESH:MEERUT
967,59,Kaushal Kishore,1,MOHANLALGANJ,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,55530561,UTTAR PRADESH:MOHANLALGANJ
973,52,Ashok Kumar,0,MISRIKH,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,5735470,48771207,UTTAR PRADESH:MISRIKH
980,37,Anupriya Singh Patel,2,MIRZAPUR,Post Graduate,Apna Dal (Soneylal),UTTAR PRADESH,Yes,2019,1805603,26900662,UTTAR PRADESH:MIRZAPUR
1001,54,Pankaj Choudhary,5,MAHARAJGANJ,12th Pass,BJP,UTTAR PRADESH,Yes,2019,4483048,371827109,UTTAR PRADESH:MAHARAJGANJ
1015,79,Mulayam Singh Yadav,1,MAINPURI,Post Graduate,SP,UTTAR PRADESH,Yes,2019,22055657,205604593,UTTAR PRADESH:MAINPURI
1022,30,Praveen Kumar Nishad,0,SANT KABIR NAGAR,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,2326248,4300614,UTTAR PRADESH:SANT KABIR NAGAR
1029,60,Dr. S T Hasan,0,MORADABAD,Post Graduate,SP,UTTAR PRADESH,Yes,2019,500000,55795546,UTTAR PRADESH:MORADABAD
1047,70,Hema Malini Dharmendra Deol,0,MATHURA,Doctorate,BJP,UTTAR PRADESH,Yes,2019,131288062,2508270292,UTTAR PRADESH:MATHURA
1060,67,Rajnath Singh,0,LUCKNOW,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,0,51492709,UTTAR PRADESH:LUCKNOW
1073,58,Bholanath (B.P. Saroj),0,MACHHLISHAHR,Graduate,BJP,UTTAR PRADESH,Yes,2019,11194163,259027394,UTTAR PRADESH:MACHHLISHAHR
1080,44,Sangeeta Azad,0,LALGANJ,Graduate Professional,BSP,UTTAR PRADESH,Yes,2019,0,88451770,UTTAR PRADESH:LALGANJ
1101,50,Vijay Kumar Dubey,2,KUSHI NAGAR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,316847,21860780,UTTAR PRADESH:KUSHI NAGAR
1109,60,Ajay Kumar,1,KHERI,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,0,45295455,UTTAR PRADESH:KHERI
1129,39,Subrat Pathak,11,KANNAUJ,Graduate,BJP,UTTAR PRADESH,Yes,2019,28993930,54287991,UTTAR PRADESH:KANNAUJ
1132,71,Satyadev Pachauri,0,KANPUR,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,31052190,132382819,UTTAR PRADESH:KANPUR
1133,62,Brij Bhushan Sharan Singh,4,KAISERGANJ,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,61524736,98905402,UTTAR PRADESH:KAISERGANJ
1134,48,Pradeep Kumar,5,KAIRANA,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,1300000,17292937,UTTAR PRADESH:KAIRANA
1135,54,Anurag Sharma,0,JHANSI,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,14212970,1243060113,UTTAR PRADESH:JHANSI
1182,60,Bhanu Pratap Singh,1,JALAUN,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,12265,10699516,UTTAR PRADESH:JALAUN
1183,65,Shyam Singh Yadav,0,JAUNPUR,Post Graduate,BSP,UTTAR PRADESH,Yes,2019,3577000,140717620,UTTAR PRADESH:JAUNPUR
1213,49,Vinod Kumar Sonkar,4,KAUSHAMBI,Graduate,BJP,UTTAR PRADESH,Yes,2019,20730086,59336113,UTTAR PRADESH:KAUSHAMBI
1223,61,Rajvir Diler,0,HATHRAS,12th Pass,BJP,UTTAR PRADESH,Yes,2019,0,14930000,UTTAR PRADESH:HATHRAS
1225,51,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,0,GORAKHPUR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,17711043,208494688,UTTAR PRADESH:GORAKHPUR
1230,53,Kirti Vardhan Singh Alias Raja Bhaiya,0,GONDA,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,23201603,232735285,UTTAR PRADESH:GONDA
1233,61,Jai Prakash,0,HARDOI,Graduate,BJP,UTTAR PRADESH,Yes,2019,2615368,234032624,UTTAR PRADESH:HARDOI
1235,45,Kunwar Pushpendra Singh,4,HAMIRPUR,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,35502582,167159924,UTTAR PRADESH:HAMIRPUR
1281,36,Atul Kumar Singh,13,GHOSI,Graduate,BSP,UTTAR PRADESH,Yes,2019,3454591,66536025,UTTAR PRADESH:GHOSI
1285,65,Afzal Ansari,5,GHAZIPUR,Post Graduate,BSP,UTTAR PRADESH,Yes,2019,0,137938756,UTTAR PRADESH:GHAZIPUR
1309,59,Dr. Mahesh Sharma,0,GAUTAM BUDDHA NAGAR,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,43863749,478759568,UTTAR PRADESH:GAUTAM BUDDHA NAGAR
1316,52,Rajkumar Chahar,3,FATEHPUR SIKRI,Graduate,BJP,UTTAR PRADESH,Yes,2019,356404,14854247,UTTAR PRADESH:FATEHPUR SIKRI
1324,54,Dr Ram Shankar Katheria,12,ETAWAH,Doctorate,BJP,UTTAR PRADESH,Yes,2019,7304616,15154538,UTTAR PRADESH:ETAWAH
1349,52,Sadhvi Niranjan Jyoti,0,FATEHPUR,12th Pass,BJP,UTTAR PRADESH,Yes,2019,910148,10667372,UTTAR PRADESH:FATEHPUR
1358,64,Lallu Singh,1,FAIZABAD,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,11276478,31884642,UTTAR PRADESH:FAIZABAD
1362,45,Rekha Verma,3,DHAURAHRA,12th Pass,BJP,UTTAR PRADESH,Yes,2019,7095916,24735488,UTTAR PRADESH:DHAURAHRA
1366,68,Dr. Chandra Sen Jadon,0,FIROZABAD,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,0,42872395,UTTAR PRADESH:FIROZABAD
1386,68,Jagdambika Pal,3,DOMARIYAGANJ,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,2838478,103366710,UTTAR PRADESH:DOMARIYAGANJ
1392,67,Vijay Kumar Singh,2,GHAZIABAD,Doctorate,BJP,UTTAR PRADESH,Yes,2019,0,56545702,UTTAR PRADESH:GHAZIABAD
1400,42,Bhola Singh,1,BULANDSHAHR,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,18728861,UTTAR PRADESH:BULANDSHAHR
1416,58,Rajveer Singh,0,ETAH,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,100220000,383629735,UTTAR PRADESH:ETAH
1425,50,Mukesh Rajput,0,FARRUKHABAD,Graduate,BJP,UTTAR PRADESH,Yes,2019,388246,74964501,UTTAR PRADESH:FARRUKHABAD
1429,62,Dr. Mahendra Nath Pandey,0,CHANDAULI,Doctorate,BJP,UTTAR PRADESH,Yes,2019,0,33359734,UTTAR PRADESH:CHANDAULI
1452,70,Santosh Kumar Gangwar,0,BAREILLY,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,13055209,126356142,UTTAR PRADESH:BAREILLY
1460,69,Ramapati Ram Tripathi,1,DEORIA,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,9310684,29451678,UTTAR PRADESH:DEORIA
1464,44,Ramesh Chand,6,BHADOHI,10th Pass,BJP,UTTAR PRADESH,Yes,2019,21696413,94089148,UTTAR PRADESH:BHADOHI
1489,51,Upendra Singh Rawat,1,BARABANKI,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,3171774,18050127,UTTAR PRADESH:BARABANKI
1495,59,R.K. Singh Patel,2,BANDA,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,55794086,UTTAR PRADESH:BANDA
1498,42,Kamlesh Paswan,5,BANSGAON,Graduate,BJP,UTTAR PRADESH,Yes,2019,6049264,171706883,UTTAR PRADESH:BANSGAON
1505,62,Virendra Singh,2,BALLIA,Graduate,BJP,UTTAR PRADESH,Yes,2019,0,24498319,UTTAR PRADESH:BALLIA
1524,53,Malook Nagar,7,BIJNOR,Graduate,BSP,UTTAR PRADESH,Yes,2019,1016148176,2499628021,UTTAR PRADESH:BIJNOR
1530,45,Harish Chandra Alias Harish Dwivedi,5,BASTI,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,322490,8662344,UTTAR PRADESH:BASTI
1533,73,Akshayabar Lal,0,BAHRAICH,10th Pass,BJP,UTTAR PRADESH,Yes,2019,3028133,45691463,UTTAR PRADESH:BAHRAICH
1536,63,Dr. Satyapal Singh,1,BAGHPAT,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,0,78195793,UTTAR PRADESH:BAGHPAT
1538,43,Kunwar Danish Ali,0,AMROHA,Graduate,BSP,UTTAR PRADESH,Yes,2019,19579691,74920879,UTTAR PRADESH:AMROHA
1581,34,Sangh Mitra Maurya,2,BADAUN,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,0,40372093,UTTAR PRADESH:BADAUN
1590,45,Akhilesh Yadav,0,AZAMGARH,Graduate Professional,SP,UTTAR PRADESH,Yes,2019,2853000,377859166,UTTAR PRADESH:AZAMGARH
1593,50,Dharmendra Kumar,0,AONLA,10th Pass,BJP,UTTAR PRADESH,Yes,2019,3324300,21766502,UTTAR PRADESH:AONLA
1619,58,Satyapal Singh Baghel,5,AGRA,Doctorate,BJP,UTTAR PRADESH,Yes,2019,8606522,74274036,UTTAR PRADESH:AGRA
1627,43,Smriti Irani,0,AMETHI,12th Pass,BJP,UTTAR PRADESH,Yes,2019,0,111099609,UTTAR PRADESH:AMETHI
1630,35,Ritesh Pandey,1,AMBEDKAR NAGAR,Graduate,BSP,UTTAR PRADESH,Yes,2019,24739098,307265103,UTTAR PRADESH:AMBEDKAR NAGAR
1632,50,Pratima Bhoumik,0,TRIPURA WEST,Graduate,BJP,TRIPURA,Yes,2019,0,642398,TRIPURA:TRIPURA WEST
1635,69,Rita Bahuguna Joshi,6,ALLAHABAD,Doctorate,BJP,UTTAR PRADESH,Yes,2019,1600000,26919330,UTTAR PRADESH:ALLAHABAD
1636,43,Rebati Tripura,0,TRIPURA EAST,Post Graduate,BJP,TRIPURA,Yes,2019,0,1948315,TRIPURA:TRIPURA EAST
