,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
3130,62,Subhash Chandra Baheria,0,BHILWARA,Graduate,BJP,RAJASTHAN,Yes,2019,1827380,232703276,RAJASTHAN:BHILWARA
3167,39,Ranjeeta Kumari,0,BHARATPUR,8th Pass,BJP,RAJASTHAN,Yes,2019,0,3117190,RAJASTHAN:BHARATPUR
3175,45,Kailash Choudhary,2,BARMER,Graduate,BJP,RAJASTHAN,Yes,2019,0,2402250,RAJASTHAN:BARMER
3179,64,Bhagirath Chaudhary,0,AJMER,12th Pass,BJP,RAJASTHAN,Yes,2019,8319942,85101774,RAJASTHAN:AJMER
3189,74,Preneet Kaur,0,PATIALA,Graduate,INC,PUNJAB,Yes,2019,42453369,635973757,PUNJAB:PATIALA
3195,61,Ram Charan Bohra,0,JAIPUR,12th Pass,BJP,RAJASTHAN,Yes,2019,22000000,165322707,RAJASTHAN:JAIPUR
3196,62,Kanakmal Katara,0,BANSWARA,Graduate Professional,BJP,RAJASTHAN,Yes,2019,1746729,58711904,RAJASTHAN:BANSWARA
3198,45,Bhagwant Mann,0,SANGRUR,12th Pass,AAP,PUNJAB,Yes,2019,0,16427274,PUNJAB:SANGRUR
3268,43,Ravneet Singh Bittu,3,LUDHIANA,12th Pass,INC,PUNJAB,Yes,2019,3331266,54281096,PUNJAB:LUDHIANA
3276,72,Santokh Singh Chaudhary,0,JALANDHAR,Graduate Professional,INC,PUNJAB,Yes,2019,2534363,99925185,PUNJAB:JALANDHAR
3309,70,Som Parkash,0,HOSHIARPUR,Post Graduate,BJP,PUNJAB,Yes,2019,0,29404519,PUNJAB:HOSHIARPUR
3316,48,Jasbir Singh Gill,0,KHADOOR SAHIB,Others,INC,PUNJAB,Yes,2019,4655000,81393500,PUNJAB:KHADOOR SAHIB
3335,59,Ajay Singh Dharmendra Deol (Sunny Deol),0,GURDASPUR,Others,BJP,PUNJAB,Yes,2019,534644785,871925679,PUNJAB:GURDASPUR
3344,56,Sukhbir Singh Badal,4,FIROZPUR,Post Graduate,SAD,PUNJAB,Yes,2019,954852600,2179919870,PUNJAB:FIROZPUR
3351,35,Mahant Balak Nath,0,ALWAR,10th Pass,BJP,RAJASTHAN,Yes,2019,0,352929,RAJASTHAN:ALWAR
3354,65,Amar Singh,0,FATEHGARH SAHIB,Post Graduate,INC,PUNJAB,Yes,2019,0,32808836,PUNJAB:FATEHGARH SAHIB
3403,79,Mohammad Sadique,0,FARIDKOT,5th Pass,INC,PUNJAB,Yes,2019,311043,19793884,PUNJAB:FARIDKOT
3411,53,Manish Tewari,0,ANANDPUR SAHIB,Graduate Professional,INC,PUNJAB,Yes,2019,0,154637860,PUNJAB:ANANDPUR SAHIB
3422,52,Harsimrat Kaur Badal,0,BATHINDA,10th Pass,SAD,PUNJAB,Yes,2019,954852600,2179919870,PUNJAB:BATHINDA
3476,46,Gurjeet Singh Aujla,0,AMRITSAR,12th Pass,INC,PUNJAB,Yes,2019,9031565,34011739,PUNJAB:AMRITSAR
3480,58,Jual Oram,2,SUNDARGARH,Others,BJP,ODISHA,Yes,2019,12743330,74185014,ODISHA:SUNDARGARH
3483,59,Pinaki Misra,0,PURI,Graduate Professional,BJD,ODISHA,Yes,2019,21932742,1174701344,ODISHA:PURI
